,maxFreq,period,maxTime,Ri
06-09-2018,0.0004154142019856948,40.12059912010567,62128.645991,0.0014896568731006712
06-10-2018,0.00018080370902069057,92.18099980880032,60331.234645,5.262215904978878e-05
06-11-2018,0.00011171825077516008,149.18481582932557,60330.111121,8.810660308223746e-05
06-12-2018,0.00020816663300655334,80.06406418718402,77428.875159,0.0006602371068905958
06-13-2018,5.194341801096014e-05,320.86195527506436,65730.290507,1.853301561267826e-06
06-14-2018,0.00041595316106133175,40.06861403370652,66629.507732,0.0006620388205436572
06-15-2018,0.00015753550544720074,105.79625602085386,61244.221687,1.2295587598209952e-05
06-16-2018,0.0004162949832151141,40.03571346920225,63930.235576,0.00017078082090652325
06-17-2018,0.00016840158841254638,98.96977115107161,69330.357455,0.00010929001247261149
06-18-2018,0.0001280865119364068,130.12038828055086,63931.491279,0.00011459316911320615
06-19-2018,0.00022239898410499168,74.94039027983396,66629.511165,0.00029026397446364787
